,國文,英文,數學,社會,自然
0,15,9,8,15,8
1,10,14,9,6,6
2,13,15,8,10,8
3,13,11,8,10,15
4,11,9,8,14,11
5,12,11,14,8,6
6,13,12,11,12,13
7,7,12,13,8,14
8,11,15,11,14,7
9,11,11,12,13,8
10,8,14,14,10,6
11,7,7,11,6,7
12,13,13,12,13,10
13,13,14,11,12,14
14,11,8,10,14,10
15,15,14,6,15,14
16,8,13,6,7,8
17,15,9,12,6,10
18,15,9,10,9,11
19,7,10,12,10,15
20,9,11,10,10,6
21,6,11,10,10,9
22,10,10,6,10,14
23,10,8,8,7,7
24,10,14,15,7,8
25,13,7,8,8,15
26,14,13,6,10,14
27,15,7,8,14,7
28,12,15,7,7,13
29,11,11,13,11,8
30,10,15,13,10,10
31,11,13,10,7,12
32,13,14,6,15,13
33,6,10,11,7,12
34,8,9,7,6,12
35,11,10,9,7,11
36,8,12,6,9,7
37,11,8,12,12,11
38,7,7,7,11,14
39,6,14,7,11,7
40,12,10,9,14,14
41,13,8,8,14,10
42,6,7,14,12,7
43,7,14,7,12,11
44,6,7,6,6,12
45,9,14,14,8,14
46,12,7,9,9,11
47,12,14,7,13,8
48,9,10,13,9,10
49,10,8,13,7,12
50,6,11,15,8,7
51,6,15,9,9,6
52,12,13,6,7,9
53,10,7,7,13,12
54,6,8,12,6,11
55,14,11,12,14,14
56,12,9,7,10,11
57,6,12,8,14,11
58,15,14,9,10,15
59,6,15,9,9,12
60,7,8,10,11,8
61,11,7,13,6,12
62,7,8,10,15,14
63,12,12,9,8,12
64,10,7,15,11,12
65,15,10,13,7,13
66,11,14,12,14,8
67,14,11,9,11,6
68,14,9,9,13,13
69,15,14,12,7,11
70,8,7,10,8,9
71,9,15,8,11,12
72,11,7,15,11,13
73,7,6,9,13,9
74,9,11,8,6,6
75,8,14,6,8,6
76,15,15,7,12,8
77,13,15,14,11,7
78,11,15,12,9,10
79,14,15,15,9,6
80,13,14,6,12,13
81,15,7,7,8,9
82,13,14,12,9,6
83,6,6,14,14,9
84,9,7,8,14,13
85,9,12,15,10,14
86,7,7,10,15,9
87,10,12,6,15,11
88,13,12,6,10,14
89,11,15,14,10,13
90,15,10,8,7,13
91,14,11,6,6,13
92,12,10,9,7,15
93,15,6,6,12,8
94,8,13,15,15,11
95,9,7,13,6,7
96,8,15,10,12,9
97,8,10,14,6,14
98,15,14,8,8,14
99,9,7,15,12,9
